A1 F_OUT_GNSS 
A2 ADC_IN 
A3 CGND_PLL 
A4 CVDD_PLL 
A5 TCXO_GNSS 
A6 SC_VCC_O 
A7 RSV 
A8 gnss_pps 
A9 SPI_nCS[1] 
A10 SPI_MISO 
A11 SPI_MOSI 
A12 QSPI_SCK 
A13 QSPI_nHOLD_D3 
A14 QSPI_MISO_D1 
A15 XTI32 
A16 XTO32 
A17 USB_DATA[7] 
A18 USB_DATA[5] 
A19 USB_DATA[3] 
A20 USB_DATA[1] 
ANone None 
B1 GND_GNSS_RFIN 
B2 GND_GNSS_RFIN 
B3 AGND_PLL 
B4 AVDD_PLL 
B5 SC_PLUG_I 
B6 SC_RST_O 
B7 RSV 
B8 SPI_nCS[2] 
B9 SPI_nCS[3] 
B10 SPI_nCS[0] 
B11 SPI_SCK 
B12 QSPI_nCS[0] 
B13 QSPI_nWP_D2 
B14 QSPI_MOSI_D0 
B15 WDT 
B16 USB_XTI 
B17 USB_DATA[6] 
B18 USB_DATA[4] 
B19 USB_DATA[2] 
B20 USB_DATA[0] 
BNone modem_dfe_data_io[9] 
C1 GNSS_RF_IN 
C2 GND_GNSS_RFIN 
C3 AGND_PPFS 
C4 AVDD_PPFS 
C5 SC_DATA_IO 
C6 SC_CLK_O 
C7 RSV 
C8 SCL 
C9 SDA 
C10 GPIO[15] 
C11 GPIO[14] 
C12 QSPI_nCS[1] 
C13 QSPI_nCS[2] 
C14 QSPI_nCS[3] 
C15 CVDD 
C16 CVDD 
C17 CVDD 
C18 CVDD 
C19 CVDD 
C20 USB_STP 
CNone modem_dfe_data_io[7] 
D1 GND_GNSS_RFIN 
D2 GND_GNSS_RFIN 
D3 R10K_GNSS 
D4 gnss_gpio[7] 
D5 gnss_gpio[6] 
D6 gnss_gpio[5] 
D7 gnss_gpio[4] 
D8 nBE[1] 
D9 D[0] 
D10 D[2] 
D11 D[4] 
D12 D[6] 
D13 D[8] 
D14 D[10] 
D15 D[12] 
D16 D[14] 
D17 SCAS 
D18 IOVDD 
D19 IOVDD 
D20 USB_NXT 
DNone modem_dfe_data_io[5] 
E1 AGND_ESD 
E2 AGND_IREF 
E3 AGND_VR_ADC 
