freq (Hz),leafValue( db(spm('sp 2 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( db(spm('sp 1 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Phase_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (deg),leafValue( db10(getData("F" ?result "sp_noise")) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Gain_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB)
1.000E3,-35.52,6.987E-6,153.8,111.7,37.51
11.00E6,22.12,888.4E-3,746.1E-3,12.29,424.5E-3
22.00E6,22.04,733.1E-3,423.9E-3,9.450,425.9E-3
33.00E6,21.90,486.9E-3,342.0E-3,8.434,424.9E-3
44.00E6,21.73,170.4E-3,317.6E-3,7.923,423.1E-3
55.00E6,21.64,-24.59E-3,314.7E-3,7.560,420.7E-3
66.00E6,21.64,-31.22E-3,321.3E-3,7.229,417.8E-3
77.00E6,21.65,-38.96E-3,332.4E-3,6.969,414.6E-3
88.00E6,21.66,-47.79E-3,345.5E-3,6.756,411.1E-3
99.00E6,21.67,-57.72E-3,359.2E-3,6.576,407.3E-3
110.0E6,21.67,-68.74E-3,372.8E-3,6.420,403.4E-3
121.0E6,21.69,-80.87E-3,385.9E-3,6.281,399.2E-3
132.0E6,21.70,-94.13E-3,398.3E-3,6.156,395.0E-3
143.0E6,21.71,-108.5E-3,409.9E-3,6.041,390.6E-3
154.0E6,21.72,-124.1E-3,420.5E-3,5.935,386.1E-3
165.0E6,21.74,-141.0E-3,430.2E-3,5.836,381.5E-3
176.0E6,21.75,-159.0E-3,439.0E-3,5.743,376.9E-3
187.0E6,21.77,-178.4E-3,446.8E-3,5.654,372.2E-3
198.0E6,21.78,-199.2E-3,453.8E-3,5.570,367.4E-3
209.0E6,21.80,-221.4E-3,459.9E-3,5.488,362.6E-3
220.0E6,21.82,-244.9E-3,465.3E-3,5.410,357.7E-3
231.0E6,21.84,-270.1E-3,469.8E-3,5.334,352.8E-3
242.0E6,21.85,-296.8E-3,473.7E-3,5.260,347.9E-3
253.0E6,21.87,-325.1E-3,476.9E-3,5.188,342.9E-3
264.0E6,21.89,-355.1E-3,479.4E-3,5.117,337.8E-3
275.0E6,21.92,-387.0E-3,481.4E-3,5.048,332.7E-3
286.0E6,21.94,-420.6E-3,482.8E-3,4.981,327.6E-3
297.0E6,21.96,-456.2E-3,483.7E-3,4.914,322.4E-3
308.0E6,21.98,-493.9E-3,484.1E-3,4.848,317.2E-3
319.0E6,22.00,-533.6E-3,484.1E-3,4.783,312.0E-3
330.0E6,22.03,-575.5E-3,483.7E-3,4.719,306.7E-3
341.0E6,22.05,-619.8E-3,482.9E-3,4.656,301.4E-3
352.0E6,22.08,-666.4E-3,481.7E-3,4.594,296.0E-3
363.0E6,22.10,-715.7E-3,480.1E-3,4.532,290.5E-3
374.0E6,22.13,-767.6E-3,478.3E-3,4.470,285.0E-3
385.0E6,22.15,-822.2E-3,476.1E-3,4.409,279.5E-3
396.0E6,22.18,-879.8E-3,473.6E-3,4.349,273.9E-3
407.0E6,22.20,-940.5E-3,470.8E-3,4.289,268.2E-3
418.0E6,22.23,-1.004,467.8E-3,4.229,262.5E-3
429.0E6,22.26,-1.072,464.5E-3,4.170,256.7E-3
440.0E6,22.28,-1.143,461.0E-3,4.112,250.9E-3
451.0E6,22.31,-1.217,457.2E-3,4.054,245.0E-3
462.0E6,22.33,-1.296,453.1E-3,3.996,239.0E-3
473.0E6,22.36,-1.379,448.9E-3,3.939,233.0E-3
484.0E6,22.39,-1.467,444.4E-3,3.882,226.8E-3
495.0E6,22.41,-1.559,439.6E-3,3.826,220.6E-3
506.0E6,22.44,-1.656,434.7E-3,3.770,214.4E-3
517.0E6,22.46,-1.758,429.5E-3,3.715,208.0E-3
528.0E6,22.48,-1.866,424.0E-3,3.661,201.6E-3
539.0E6,22.51,-1.980,418.4E-3,3.607,195.1E-3
550.0E6,22.53,-2.099,412.5E-3,3.554,188.6E-3
561.0E6,22.55,-2.226,406.4E-3,3.502,181.9E-3
572.0E6,22.57,-2.360,400.1E-3,3.451,175.2E-3
583.0E6,22.59,-2.501,393.5E-3,3.401,168.4E-3
594.0E6,22.61,-2.649,386.7E-3,3.352,161.5E-3
605.0E6,22.63,-2.806,379.7E-3,3.304,154.5E-3
616.0E6,22.64,-2.972,372.4E-3,3.257,147.4E-3
627.0E6,22.66,-3.147,364.9E-3,3.212,140.3E-3
638.0E6,22.67,-3.333,357.2E-3,3.168,133.1E-3
649.0E6,22.68,-3.529,349.2E-3,3.125,125.8E-3
660.0E6,22.69,-3.736,340.9E-3,3.085,118.4E-3
671.0E6,22.69,-3.957,332.4E-3,3.045,110.9E-3
682.0E6,22.70,-4.189,323.6E-3,3.008,103.3E-3
693.0E6,22.70,-4.435,314.6E-3,2.973,95.65E-3
704.0E6,22.70,-4.697,305.3E-3,2.940,87.90E-3
715.0E6,22.69,-4.975,295.8E-3,2.909,80.06E-3
726.0E6,22.69,-5.270,286.0E-3,2.881,72.14E-3
737.0E6,22.68,-5.583,275.9E-3,2.855,64.13E-3
748.0E6,22.66,-5.918,265.5E-3,2.832,56.04E-3
759.0E6,22.65,-6.273,254.8E-3,2.812,47.85E-3
770.0E6,22.63,-6.652,243.9E-3,2.794,39.58E-3
781.0E6,22.60,-7.059,232.7E-3,2.780,31.21E-3
792.0E6,22.57,-7.492,221.1E-3,2.768,22.76E-3
803.0E6,22.54,-7.957,209.3E-3,2.760,14.22E-3
814.0E6,22.51,-8.459,197.2E-3,2.756,5.598E-3
825.0E6,22.47,-8.997,184.8E-3,2.755,-3.117E-3
836.0E6,22.42,-9.578,172.0E-3,2.757,-11.92E-3
847.0E6,22.37,-10.21,159.0E-3,2.764,-20.81E-3
858.0E6,22.32,-10.90,145.6E-3,2.774,-29.79E-3
869.0E6,22.26,-11.64,132.0E-3,2.788,-38.86E-3
880.0E6,22.20,-12.47,118.0E-3,2.807,-48.01E-3
891.0E6,22.14,-13.38,103.7E-3,2.829,-57.26E-3
902.0E6,22.06,-14.39,89.01E-3,2.855,-66.59E-3
913.0E6,21.99,-15.52,74.04E-3,2.886,-76.00E-3
924.0E6,21.91,-16.80,58.73E-3,2.921,-85.51E-3
935.0E6,21.82,-18.23,43.08E-3,2.960,-95.10E-3
946.0E6,21.73,-19.84,27.09E-3,3.003,-104.8E-3
957.0E6,21.64,-21.57,10.75E-3,3.050,-114.5E-3
968.0E6,21.54,-23.19,-5.927E-3,3.102,-124.4E-3
979.0E6,21.44,-24.16,-22.96E-3,3.158,-134.3E-3
990.0E6,21.33,-23.86,-40.34E-3,3.218,-144.4E-3
1.001E9,21.22,-22.58,-58.08E-3,3.282,-154.5E-3
1.012E9,21.10,-20.93,-76.18E-3,3.350,-164.7E-3
1.023E9,20.98,-19.29,-94.65E-3,3.422,-174.9E-3
1.034E9,20.86,-17.83,-113.5E-3,3.498,-185.3E-3
1.045E9,20.73,-16.53,-132.7E-3,3.578,-195.7E-3
1.056E9,20.60,-15.40,-152.2E-3,3.661,-206.3E-3
1.067E9,20.47,-14.38,-172.2E-3,3.749,-216.9E-3
1.078E9,20.33,-13.48,-192.5E-3,3.839,-227.6E-3
1.089E9,20.19,-12.67,-213.2E-3,3.933,-238.4E-3
1.100E9,20.04,-11.94,-234.3E-3,4.031,-249.2E-3
1.111E9,19.90,-11.27,-255.7E-3,4.131,-260.2E-3
1.122E9,19.75,-10.67,-277.6E-3,4.234,-271.2E-3
1.133E9,19.60,-10.11,-299.8E-3,4.340,-282.3E-3
1.144E9,19.44,-9.602,-322.4E-3,4.449,-293.5E-3
1.155E9,19.29,-9.130,-345.5E-3,4.560,-304.8E-3
1.166E9,19.13,-8.685,-368.9E-3,4.675,-316.1E-3
1.177E9,18.97,-8.280,-392.7E-3,4.791,-327.6E-3
1.188E9,18.80,-7.901,-416.9E-3,4.909,-339.1E-3
1.199E9,18.64,-7.543,-441.5E-3,5.030,-350.7E-3
1.210E9,18.47,-7.209,-466.6E-3,5.153,-362.3E-3
