freq (Hz),leafValue( db(spm('sp 2 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( db(spm('sp 1 1)) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Phase_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (deg),leafValue( db10(getData("F" ?result "sp_noise")) "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB),leafValue( Gain_Error "modelFiles" "toplevel.scs:tt_lib" "VDD" 3.3 "temperature" 27 ) (dB)
1.000E3,-45.19,6.987E-6,155.7,112.0,37.30
11.00E6,12.29,888.4E-3,939.5E-3,15.67,767.6E-3
22.00E6,12.20,733.2E-3,519.4E-3,13.18,765.4E-3
33.00E6,12.07,487.0E-3,400.6E-3,12.26,761.3E-3
44.00E6,11.90,170.5E-3,349.6E-3,11.79,755.7E-3
55.00E6,11.80,-24.48E-3,319.8E-3,11.45,749.1E-3
66.00E6,11.81,-31.09E-3,296.0E-3,11.11,741.8E-3
77.00E6,11.82,-38.81E-3,272.1E-3,10.84,734.1E-3
88.00E6,11.83,-47.63E-3,245.5E-3,10.61,726.4E-3
99.00E6,11.84,-57.55E-3,215.5E-3,10.42,718.7E-3
110.0E6,11.85,-68.57E-3,182.0E-3,10.24,711.4E-3
121.0E6,11.86,-80.70E-3,145.4E-3,10.09,704.3E-3
132.0E6,11.87,-93.97E-3,106.2E-3,9.948,697.7E-3
143.0E6,11.88,-108.4E-3,64.89E-3,9.820,691.4E-3
154.0E6,11.89,-124.0E-3,21.95E-3,9.703,685.5E-3
165.0E6,11.90,-140.9E-3,-22.19E-3,9.595,680.0E-3
176.0E6,11.92,-159.0E-3,-67.17E-3,9.494,674.8E-3
187.0E6,11.93,-178.4E-3,-112.7E-3,9.400,670.0E-3
198.0E6,11.94,-199.1E-3,-158.5E-3,9.311,665.4E-3
209.0E6,11.96,-221.3E-3,-204.5E-3,9.227,661.0E-3
220.0E6,11.97,-244.9E-3,-250.5E-3,9.148,656.9E-3
231.0E6,11.99,-270.0E-3,-296.4E-3,9.072,652.9E-3
242.0E6,12.00,-296.7E-3,-342.0E-3,8.999,649.1E-3
253.0E6,12.02,-325.0E-3,-387.5E-3,8.929,645.5E-3
264.0E6,12.04,-355.0E-3,-432.6E-3,8.862,641.9E-3
275.0E6,12.05,-386.8E-3,-477.4E-3,8.797,638.5E-3
286.0E6,12.07,-420.4E-3,-521.9E-3,8.734,635.1E-3
297.0E6,12.09,-455.9E-3,-566.0E-3,8.673,631.8E-3
308.0E6,12.11,-493.5E-3,-609.9E-3,8.613,628.6E-3
319.0E6,12.13,-533.1E-3,-653.3E-3,8.554,625.3E-3
330.0E6,12.14,-574.9E-3,-696.5E-3,8.497,622.1E-3
341.0E6,12.16,-619.0E-3,-739.3E-3,8.441,619.0E-3
352.0E6,12.18,-665.5E-3,-781.8E-3,8.386,615.8E-3
363.0E6,12.20,-714.5E-3,-824.0E-3,8.331,612.6E-3
374.0E6,12.22,-766.2E-3,-865.9E-3,8.277,609.4E-3
385.0E6,12.24,-820.5E-3,-907.5E-3,8.225,606.2E-3
396.0E6,12.26,-877.8E-3,-948.9E-3,8.173,603.0E-3
407.0E6,12.28,-938.1E-3,-990.1E-3,8.121,599.8E-3
418.0E6,12.30,-1.002,-1.031,8.070,596.5E-3
429.0E6,12.32,-1.069,-1.072,8.020,593.2E-3
440.0E6,12.35,-1.139,-1.112,7.970,589.8E-3
451.0E6,12.37,-1.213,-1.152,7.921,586.4E-3
462.0E6,12.39,-1.291,-1.192,7.873,583.0E-3
473.0E6,12.41,-1.373,-1.232,7.825,579.5E-3
484.0E6,12.43,-1.460,-1.272,7.778,575.9E-3
495.0E6,12.45,-1.551,-1.312,7.731,572.3E-3
506.0E6,12.46,-1.647,-1.351,7.685,568.7E-3
517.0E6,12.48,-1.748,-1.391,7.640,564.9E-3
528.0E6,12.50,-1.855,-1.430,7.595,561.2E-3
539.0E6,12.52,-1.968,-1.469,7.552,557.3E-3
550.0E6,12.53,-2.086,-1.508,7.509,553.4E-3
561.0E6,12.55,-2.211,-1.547,7.467,549.4E-3
572.0E6,12.56,-2.343,-1.586,7.426,545.4E-3
583.0E6,12.58,-2.482,-1.625,7.387,541.3E-3
