freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
5.000E6,1.823,5.090E6,34.56E-9,9.650E6,38.99
5.090E6,2.069,5.180E6,34.41E-9,9.750E6,38.91
5.180E6,2.316,5.270E6,34.31E-9,9.850E6,38.83
5.270E6,2.565,5.360E6,34.25E-9,9.950E6,38.75
5.360E6,2.816,5.450E6,34.24E-9,10.05E6,38.68
5.450E6,3.069,5.540E6,34.27E-9,10.15E6,38.60
5.540E6,3.325,5.630E6,34.34E-9,10.25E6,38.53
5.630E6,3.582,5.720E6,34.46E-9,10.35E6,38.46
5.720E6,3.842,5.810E6,34.61E-9,10.45E6,38.39
5.810E6,4.103,5.900E6,34.81E-9,10.55E6,38.32
5.900E6,4.368,5.990E6,35.05E-9,10.65E6,38.25
5.990E6,4.634,6.080E6,35.33E-9,10.75E6,38.19
6.080E6,4.903,6.170E6,35.65E-9,10.85E6,38.12
6.170E6,5.174,6.260E6,36.01E-9,10.95E6,38.06
6.260E6,5.447,6.350E6,36.41E-9,11.05E6,38.00
6.350E6,5.723,6.440E6,36.85E-9,11.15E6,37.94
6.440E6,6.002,6.530E6,37.33E-9,11.25E6,37.88
6.530E6,6.283,6.620E6,37.85E-9,11.35E6,37.82
6.620E6,6.566,6.710E6,38.42E-9,11.45E6,37.77
6.710E6,6.852,6.800E6,39.03E-9,11.55E6,37.72
6.800E6,7.140,6.890E6,39.69E-9,11.65E6,37.67
6.890E6,7.431,6.980E6,40.40E-9,11.75E6,37.62
6.980E6,7.725,7.070E6,41.15E-9,11.85E6,37.57
7.070E6,8.020,7.160E6,41.95E-9,11.95E6,37.52
7.160E6,8.319,7.250E6,42.80E-9,12.05E6,37.48
7.250E6,8.619,7.340E6,43.70E-9,12.15E6,37.43
7.340E6,8.922,7.430E6,44.66E-9,12.25E6,37.39
7.430E6,9.227,7.520E6,45.67E-9,12.35E6,37.35
7.520E6,9.535,7.610E6,46.74E-9,12.45E6,37.32
7.610E6,9.844,7.700E6,47.86E-9,12.55E6,37.28
7.700E6,10.16,7.790E6,49.05E-9,12.65E6,37.25
7.790E6,10.47,7.880E6,50.30E-9,12.75E6,37.22
7.880E6,10.78,7.970E6,51.61E-9,12.85E6,37.19
7.970E6,11.10,8.060E6,52.98E-9,12.95E6,37.16
8.060E6,11.42,8.150E6,54.41E-9,13.05E6,37.13
8.150E6,11.74,8.240E6,55.92E-9,13.15E6,37.11
8.240E6,12.06,8.330E6,57.48E-9,13.25E6,37.08
8.330E6,12.38,8.420E6,59.11E-9,13.35E6,37.06
8.420E6,12.70,8.510E6,60.81E-9,13.45E6,37.04
8.510E6,13.02,8.600E6,62.56E-9,13.55E6,37.02
8.600E6,13.35,8.690E6,64.37E-9,13.65E6,37.01
8.690E6,13.67,8.780E6,66.24E-9,13.75E6,37.00
8.780E6,13.99,8.870E6,68.16E-9,13.85E6,36.98
8.870E6,14.30,8.960E6,70.12E-9,13.95E6,36.97
8.960E6,14.62,9.050E6,72.12E-9,14.05E6,36.97
9.050E6,14.93,9.140E6,74.14E-9,14.15E6,36.96
9.140E6,15.24,9.230E6,76.18E-9,14.25E6,36.95
9.230E6,15.54,9.320E6,78.22E-9,14.35E6,36.95
9.320E6,15.84,9.410E6,80.26E-9,14.45E6,36.95
9.410E6,16.14,9.500E6,82.26E-9,14.55E6,36.95
9.500E6,16.42,9.590E6,84.22E-9,14.65E6,36.96
9.590E6,16.70,9.680E6,86.11E-9,14.75E6,36.96
9.680E6,16.98,9.770E6,87.92E-9,14.85E6,36.97
9.770E6,17.24,9.860E6,89.63E-9,14.95E6,36.98
9.860E6,17.49,9.950E6,91.22E-9,15.05E6,36.99
9.950E6,17.74,10.04E6,92.66E-9,15.15E6,37.00
10.04E6,17.97,10.13E6,93.94E-9,15.25E6,37.02
