Values ,histogram2D(_statGetWaveform( "Fc_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t),Values ,histogram2D(_statGetWaveform( "Bandwidth_TOTAL_GLO" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "Vesta_Filters_40:Test_PPF_GPS_2:2" ?filtPointsList "" ) 10 "standard" "stddev" t)
14.12E6,7,9.281E6,12
14.18E6,3,9.311E6,7
14.19E6,12,9.320E6,18
14.19E6,9,9.324E6,15
14.20E6,4,9.325E6,13
14.20E6,1,9.327E6,10
14.21E6,6,9.327E6,6
14.22E6,11,9.330E6,19
14.22E6,10,9.331E6,11
14.22E6,5,9.332E6,16
14.22E6,13,9.336E6,2
14.22E6,8,9.342E6,3
14.22E6,14,9.343E6,8
14.22E6,2,9.348E6,5
14.25E6,13,9.350E6,17
14.25E6,29,9.353E6,14
14.25E6,20,9.359E6,1
14.26E6,42,9.362E6,9
14.26E6,40,9.362E6,4
14.26E6,4,9.367E6,8
14.27E6,7,9.369E6,40
14.27E6,30,9.371E6,24
14.27E6,31,9.371E6,11
14.28E6,16,9.373E6,2
14.28E6,27,9.376E6,28
14.28E6,5,9.386E6,21
14.28E6,15,9.387E6,1
14.29E6,6,9.389E6,6
14.29E6,1,9.389E6,13
14.29E6,32,9.397E6,18
14.29E6,38,9.399E6,41
14.30E6,14,9.399E6,31
14.30E6,23,9.399E6,38
14.30E6,25,9.399E6,27
14.30E6,35,9.409E6,30
14.30E6,10,9.410E6,10
14.31E6,33,9.410E6,14
14.31E6,41,9.411E6,29
14.31E6,36,9.415E6,36
14.31E6,37,9.416E6,17
14.31E6,3,9.418E6,5
14.32E6,22,9.418E6,33
14.32E6,11,9.419E6,43
14.32E6,8,9.419E6,37
14.32E6,9,9.419E6,20
14.32E6,28,9.420E6,35
