freq (Hz),leafValue( HF_I "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB),freq (Hz),leafValue( GD "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ),freq (Hz),leafValue( NF "modelFiles" "crn40lp_2d5_v2d0_2_shrink0d9_embedded_usage.scs:top_tt" "VDD" 3.3 "temperature" 27 ) (dB)
5.000E6,-4.370,5.090E6,20.81E-9,12.28E6,39.89
5.090E6,-4.207,5.180E6,20.35E-9,12.33E6,39.86
5.180E6,-4.042,5.270E6,19.92E-9,12.38E6,39.83
5.270E6,-3.876,5.360E6,19.52E-9,12.43E6,39.80
5.360E6,-3.709,5.450E6,19.16E-9,12.48E6,39.77
5.450E6,-3.541,5.540E6,18.83E-9,12.53E6,39.74
5.540E6,-3.371,5.630E6,18.52E-9,12.58E6,39.71
5.630E6,-3.200,5.720E6,18.25E-9,12.63E6,39.68
5.720E6,-3.027,5.810E6,18.00E-9,12.68E6,39.65
5.810E6,-2.852,5.900E6,17.77E-9,12.73E6,39.62
5.900E6,-2.676,5.990E6,17.57E-9,12.78E6,39.60
5.990E6,-2.499,6.080E6,17.38E-9,12.83E6,39.57
6.080E6,-2.319,6.170E6,17.22E-9,12.88E6,39.54
6.170E6,-2.138,6.260E6,17.08E-9,12.93E6,39.52
6.260E6,-1.955,6.350E6,16.97E-9,12.98E6,39.49
6.350E6,-1.770,6.440E6,16.86E-9,13.03E6,39.47
6.440E6,-1.583,6.530E6,16.78E-9,13.08E6,39.44
6.530E6,-1.394,6.620E6,16.72E-9,13.13E6,39.42
6.620E6,-1.203,6.710E6,16.67E-9,13.18E6,39.40
6.710E6,-1.010,6.800E6,16.65E-9,13.23E6,39.37
6.800E6,-815.3E-3,6.890E6,16.64E-9,13.28E6,39.35
6.890E6,-618.1E-3,6.980E6,16.64E-9,13.33E6,39.33
6.980E6,-418.8E-3,7.070E6,16.67E-9,13.38E6,39.31
7.070E6,-217.2E-3,7.160E6,16.71E-9,13.43E6,39.29
7.160E6,-13.25E-3,7.250E6,16.76E-9,13.48E6,39.27
7.250E6,193.0E-3,7.340E6,16.84E-9,13.53E6,39.25
7.340E6,401.7E-3,7.430E6,16.93E-9,13.58E6,39.24
7.430E6,612.8E-3,7.520E6,17.04E-9,13.63E6,39.22
7.520E6,826.5E-3,7.610E6,17.16E-9,13.68E6,39.20
7.610E6,1.043,7.700E6,17.31E-9,13.73E6,39.19
7.700E6,1.262,7.790E6,17.47E-9,13.78E6,39.18
7.790E6,1.483,7.880E6,17.65E-9,13.83E6,39.16
7.880E6,1.708,7.970E6,17.85E-9,13.88E6,39.15
7.970E6,1.935,8.060E6,18.06E-9,13.93E6,39.14
8.060E6,2.165,8.150E6,18.30E-9,13.98E6,39.13
8.150E6,2.398,8.240E6,18.56E-9,14.03E6,39.12
8.240E6,2.634,8.330E6,18.84E-9,14.08E6,39.11
8.330E6,2.873,8.420E6,19.14E-9,14.13E6,39.10
8.420E6,3.116,8.510E6,19.47E-9,14.18E6,39.09
8.510E6,3.361,8.600E6,19.82E-9,14.23E6,39.09
8.600E6,3.610,8.690E6,20.19E-9,14.28E6,39.08
8.690E6,3.863,8.780E6,20.60E-9,14.33E6,39.08
8.780E6,4.119,8.870E6,21.03E-9,14.38E6,39.07
8.870E6,4.378,8.960E6,21.49E-9,14.43E6,39.07
8.960E6,4.641,9.050E6,21.98E-9,14.48E6,39.07
9.050E6,4.908,9.140E6,22.50E-9,14.53E6,39.07
9.140E6,5.179,9.230E6,23.06E-9,14.58E6,39.07
9.230E6,5.454,9.320E6,23.66E-9,14.63E6,39.07
9.320E6,5.732,9.410E6,24.29E-9,14.68E6,39.07
9.410E6,6.015,9.500E6,24.97E-9,14.73E6,39.08
9.500E6,6.302,9.590E6,25.69E-9,14.78E6,39.08
9.590E6,6.594,9.680E6,26.46E-9,14.83E6,39.08
9.680E6,6.890,9.770E6,27.28E-9,14.88E6,39.09
9.770E6,7.190,9.860E6,28.15E-9,14.93E6,39.10
9.860E6,7.495,9.950E6,29.08E-9,14.98E6,39.11
9.950E6,7.804,10.04E6,30.07E-9,15.03E6,39.12
10.04E6,8.119,10.13E6,31.13E-9,15.08E6,39.13
10.13E6,8.438,10.22E6,32.26E-9,15.13E6,39.14
10.22E6,8.762,10.31E6,33.47E-9,15.18E6,39.15
10.31E6,9.091,10.40E6,34.76E-9,15.23E6,39.16
10.40E6,9.425,10.49E6,36.13E-9,15.28E6,39.18
10.49E6,9.765,10.58E6,37.60E-9,15.33E6,39.19
10.58E6,10.11,10.67E6,39.17E-9,15.38E6,39.21
10.67E6,10.46,10.76E6,40.85E-9,15.43E6,39.23
10.76E6,10.81,10.85E6,42.64E-9,15.48E6,39.25
10.85E6,11.17,10.94E6,44.56E-9,15.53E6,39.27
10.94E6,11.54,11.03E6,46.61E-9,15.58E6,39.29
11.03E6,11.91,11.12E6,48.80E-9,15.63E6,39.31
11.12E6,12.28,11.21E6,51.13E-9,15.68E6,39.33
11.21E6,12.66,11.30E6,53.62E-9,15.73E6,39.35
11.30E6,13.04,11.39E6,56.28E-9,15.78E6,39.38
11.39E6,13.43,11.48E6,59.10E-9,15.83E6,39.40
11.48E6,13.82,11.57E6,62.10E-9,15.88E6,39.43
11.57E6,14.21,11.66E6,65.28E-9,15.93E6,39.45
11.66E6,14.60,11.75E6,68.64E-9,15.98E6,39.48
11.75E6,15.00,11.84E6,72.16E-9,16.03E6,39.51
11.84E6,15.39,11.93E6,75.86E-9,16.08E6,39.54
11.93E6,15.79,12.02E6,79.70E-9,16.13E6,39.57
12.02E6,16.18,12.11E6,83.67E-9,16.18E6,39.60
12.11E6,16.57,12.20E6,87.74E-9,16.23E6,39.63
12.20E6,16.95,12.29E6,91.87E-9,16.28E6,39.67
12.29E6,17.33,12.38E6,96.01E-9,16.33E6,39.70
12.38E6,17.69,12.47E6,100.1E-9,16.38E6,39.73
12.47E6,18.05,12.56E6,104.1E-9,16.43E6,39.77
12.56E6,18.39,12.65E6,107.8E-9,16.48E6,39.81
12.65E6,18.71,12.74E6,111.3E-9,16.53E6,39.84
12.74E6,19.01,12.83E6,114.4E-9,16.58E6,39.88
12.83E6,19.30,12.92E6,117.1E-9,16.63E6,39.92
12.92E6,19.56,13.01E6,119.3E-9,16.68E6,39.96
13.01E6,19.80,13.10E6,120.9E-9,16.73E6,40.00
