Vin ,gm_n,gm_p
20.00E-3,54.20E-12,-69.86E-12
40.00E-3,112.4E-12,-59.42E-12
60.00E-3,217.5E-12,-43.98E-12
80.00E-3,407.6E-12,-19.41E-12
100.0E-3,752.0E-12,21.70E-12
120.0E-3,1.376E-9,92.63E-12
140.0E-3,2.508E-9,217.3E-12
160.0E-3,4.559E-9,438.5E-12
180.0E-3,8.273E-9,833.1E-12
200.0E-3,14.99E-9,1.539E-9
220.0E-3,27.13E-9,2.801E-9
240.0E-3,49.02E-9,5.060E-9
260.0E-3,88.38E-9,9.094E-9
280.0E-3,158.9E-9,16.29E-9
300.0E-3,284.7E-9,29.07E-9
320.0E-3,507.3E-9,51.71E-9
340.0E-3,897.9E-9,91.59E-9
360.0E-3,1.574E-6,161.4E-9
380.0E-3,2.727E-6,282.5E-9
400.0E-3,4.650E-6,490.5E-9
420.0E-3,7.773E-6,843.2E-9
440.0E-3,12.68E-6,1.432E-6
460.0E-3,20.11E-6,2.399E-6
480.0E-3,30.88E-6,3.956E-6
500.0E-3,45.76E-6,6.403E-6
520.0E-3,65.33E-6,10.14E-6
540.0E-3,89.86E-6,15.60E-6
560.0E-3,119.3E-6,23.20E-6
580.0E-3,153.6E-6,33.15E-6
600.0E-3,192.6E-6,45.38E-6
620.0E-3,236.1E-6,59.60E-6
640.0E-3,284.3E-6,75.39E-6
660.0E-3,336.8E-6,92.38E-6
680.0E-3,393.3E-6,110.3E-6
700.0E-3,453.2E-6,128.8E-6
720.0E-3,515.8E-6,147.8E-6
740.0E-3,580.2E-6,167.1E-6
760.0E-3,645.7E-6,186.7E-6
780.0E-3,711.5E-6,206.3E-6
800.0E-3,776.9E-6,225.8E-6
820.0E-3,841.4E-6,245.2E-6
840.0E-3,904.6E-6,264.4E-6
860.0E-3,966.1E-6,283.2E-6
880.0E-3,1.026E-3,301.8E-6
900.0E-3,1.084E-3,319.9E-6
920.0E-3,1.139E-3,337.7E-6
940.0E-3,1.193E-3,355.1E-6
960.0E-3,1.244E-3,372.0E-6
980.0E-3,1.294E-3,388.6E-6
1.000,1.342E-3,404.7E-6
1.020,1.388E-3,420.5E-6
1.040,1.432E-3,435.8E-6
1.060,1.474E-3,450.9E-6
1.080,1.515E-3,465.5E-6
1.100,1.554E-3,479.8E-6
1.120,1.591E-3,493.8E-6
1.140,1.628E-3,507.5E-6
1.160,1.663E-3,520.9E-6
1.180,1.696E-3,534.0E-6
1.200,1.728E-3,546.8E-6
1.220,1.759E-3,559.3E-6
1.240,1.789E-3,571.6E-6
1.260,1.818E-3,583.6E-6
1.280,1.846E-3,595.4E-6
1.300,1.872E-3,607.0E-6
1.320,1.898E-3,618.3E-6
1.340,1.923E-3,629.4E-6
1.360,1.946E-3,640.2E-6
1.380,1.969E-3,650.9E-6
1.400,1.991E-3,661.3E-6
1.420,2.012E-3,671.6E-6
1.440,2.033E-3,681.7E-6
1.460,2.052E-3,691.5E-6
1.480,2.071E-3,701.2E-6
1.500,2.089E-3,710.7E-6
1.520,2.106E-3,720.0E-6
1.540,2.123E-3,729.2E-6
1.560,2.138E-3,738.2E-6
1.580,2.153E-3,747.0E-6
1.600,2.168E-3,755.7E-6
1.620,2.182E-3,764.2E-6
1.640,2.195E-3,772.5E-6
1.660,2.208E-3,780.7E-6
1.680,2.220E-3,788.7E-6
1.700,2.231E-3,796.7E-6
1.720,2.242E-3,804.4E-6
1.740,2.253E-3,812.0E-6
1.760,2.263E-3,819.5E-6
1.780,2.272E-3,826.9E-6
1.800,2.281E-3,834.1E-6
1.820,2.290E-3,841.2E-6
1.840,2.298E-3,848.2E-6
1.860,2.305E-3,855.0E-6
1.880,2.312E-3,861.7E-6
1.900,2.319E-3,868.3E-6
1.920,2.325E-3,874.8E-6
1.940,2.331E-3,881.2E-6
1.960,2.337E-3,887.5E-6
1.980,2.342E-3,893.6E-6
2.000,2.347E-3,899.7E-6
